English,portugues,Coreano
afraid,com medo,두려워하는
between,entre,~ 사이
important,importante,중요한
rest,descansar,나머지
fun,diversão,재미있는
kid,criança,어린이
word,palavra,단어
watch,assistir,보다
glad,alegre,기쁜
everyone,todos,모든 사람
days,dias,날
sister,irmã,자매
minutes,minutos,분
everybody,todo mundo,여러분
bit,pedaço,조금
couple,casal,커플
whoa,Uau,우와
either,qualquer,어느 하나
Mrs .,Sra .,부인 .
feeling,sentimento,감정
daughter,filha,딸
wow,uau,우와
gets,recebe,얻는다
asked,perguntado,물었다
under,sob,아래에
break,quebrar,부서지다
promise,promessa,약속하다
door,porta,문
set,definir,세트
close,fechar,닫다
hand,mão,손
easy,fácil,쉬운
question,pergunta,질문
doctor,doutor,의사
tried,testado,시험을 마친
far,distante,멀리
walk,andar,걷다
needs,precisa,필요합니다
trouble,dificuldade,문제
mine,meu,내 거
though,no entanto,그렇지만
times,vezes,타임스
different,diferente,다른
killed,morto,살해
hospital,hospital,병원
anybody,qualquer pessoa,아무도
Sam or SAM,Sam ou Sam,샘 또는 샘
alright,tudo bem,괜찮은
wedding,casamento,혼례
shut,fechar,닫다
able,capaz,할 수 있는
die,morrer,주사위
perfect,perfeito,완벽한
police,polícia,경찰
stand,ficar,서다
comes,vem,온다
hit,bater,때리다
story,história,이야기
ya,ya,당신
mm,milímetros,mm
waiting,esperando,대기 중
dinner,jantar,저녁
against,contra,~에 맞서
funny,engraçado,재미있는
husband,marido,남편
almost,quase,거의
stupid,estúpido,멍청한
pay,pagar,지불하다
answer,responder,답변
four,quatro,네
office,escritório,사무실
cool,legal,시원한
eyes,olhos,눈
news,notícias,소식
child,criança,어린이
shouldn't,não deveria,그렇지 않아야합니다
half,metade,반
side,lado,옆
yours,seu,당신 것
moment,momento,순간
sleep,dormir,잠
read,ler,읽다
where's,Onde está a,어디있어
started,iniciado,시작
young,jovem,어린
men,homens,남자들
sounds,sons,소리
sonny or Sonny,Sonny ou Sonny,Sonny 또는 Sonny
lucky,sortudo,운이 좋은
pick,escolha,선택하다
sometimes,às vezes,때때로
em,Em,여자 이름
bed,cama,침대
also,também,또한
date,data,날짜
line,linha,선
plan,plano,계획
hours,horas,시간
lose,perder,잃다
fire,fogo,불
free,livre,무료
hands,mãos,소유
serious,sério,심각한
Leo,Leo,사자 별자리
shit,merda,똥
behind,atrás,뒤에
inside,dentro,내부에
high,alto,높은
ahead,à frente,앞으로
week,semana,주
wonderful,maravilhoso,아주 멋진
T .,T.,t.
fight,lutar,싸움
past,passado,과거
cut,corte,자르다
quite,bastante,상당히
number,número,숫자
he'll,inferno,지옥
sick,doente,아픈
S .,S.,S.
it'll,vai,그것은 할 것이다
game,jogo,게임
eat,comer,먹다
nobody,ninguém,아무도
goes,vai,간다
death,morte,죽음
along,junto,~을 따라
save,salvar,구하다
seems,parece,보인다
finally,finalmente,마지막으로
lives,vidas,살아
worried,preocupado,걱정하는
upset,chateado,속상한
Theresa,Há um,거기에
Carly,Carly,칼리
Ethan,Ethan,에단
met,conheceu,만났다
book,livro,책
brought,trouxe,가져왔다
seem,parecer,~인 것 같다
sort,organizar,종류
safe,seguro,안전한
living,vivendo,생활
children,crianças,어린이들
weren't,Não era,그렇지 않았습니다
leaving,saindo,퇴거
front,frente,앞쪽
shot,tomada,발사
loved,amado,사랑
asking,Perguntando,질문
running,correndo,달리기
clear,claro,분명한
figure,figura,수치
hot,quente,더운
felt,sentido,펠트
six,seis,육
parents,pais,부모
drink,bebida,마시다
absolutely,absolutamente,전적으로
how's,como,어때
daddy,papai,아빠
sweet,doce,달콤한
alive,vivo,살아 있는
Paul,Paulo,폴
sense,senso,감각
meant,significou,의미했다 
happens,acontece,발생합니다
David,David,데이비드
special,especial,특별한
bet,aposta,내기
blood,sangue,피
ain't,não,그렇지 않습니다
kidding,brincando,농담
lie,mentira,거짓말하다
full,completo,가득한
meeting,reunião,회의
dear,querido,~에게
coffee,café,커피
seeing,vendo,봄
sound,som,소리
fault,falta,잘못
water,água,물
fuck,Porra,못쓰게 만들다
ten,dez,십
women,mulheres,여성
John or john,John ou John,존 또는 요한
welcome,Bem-vindo,환영
buy,comprar,구입하다
months,meses,달
hour,hora,시간
speak,falar,말하다
lady,senhora,숙녀
Jen,Jen,젠
thinks,acha,생각합니다
Christmas,Natal,크리스마스
body,corpo,몸
order,ordem,주문하다
outside,fora,밖의
hang,pendurar,걸다
possible,possível,가능한
worse,pior,더 나쁜
company,empresa,회사
mistake,erro,실수
ooh,ooh,오
handle,lidar,핸들
spend,gastar,경비
C .,C.,씨 .
totally,totalmente,완전히
giving,dando,기부
control,ao controle,제어
here's,Aqui está,여기에 있습니다
marriage,casado,결혼
realize,entender,깨닫다
D .,D.,d.
power,poder,힘
president,Presidente,대통령
unless,a menos que,~하지 않는 한
sex,sexo,섹스
girls,garotas,여자
send,enviar,보내다
needed,necessário,필요합니다
O . or o,O. ou o,o. 또는 o
taken,levado,촬영
died,morreu,사망 한
scared,assustado,무서운
picture,foto,그림
talked,falou,이야기했다
Jake,Jake,제이크
Al,Al,알
ass,bunda,나귀
hundred,centenas,백
changed,mudado,변경
completely,completamente,완전히
explain,explicar,설명하다
playing,jogando,놀이
certainly,certamente,틀림없이
sign,sinal,징후
boys,Rapazes,소년들
relationship,relação,관계
Michael,Michael,남자 이름
loves,O amor é,사랑
fucking,Porra,빌어 먹을
hair,cabelo,머리카락
lying,mentindo,거짓말하는
choice,escolha,선택
anywhere,em qualquer lugar,어딘가에
secret,segredo,비밀
future,futuro,미래
weird,esquisito,기이한
luck,sorte,운
she'll,concha,껍데기
Max or max .,Max ou Max.,맥스 또는 맥스.
Luis,Luis,루이스
turned,virado,돌린
known,conhecido,모두 다 아는
touch,tocar,만지다
kiss,beijo,키스
Crane or crane,Guindaste ou guindaste,크레인 또는 크레인
questions,questões,질문
obviously,obviamente,확실히
wonder,maravilha,궁금하다
pain,dor,통증
calling,chamando,부름
somewhere,em algum lugar,어딘가에
throw,lançar,던지다
straight,direto,똑바로
Grace or grace,Graça ou graça,은혜 나 은혜
cold,frio,추운
white or White,branco ou branco,흰색 또는 흰색
fast,rápido,빠른
Natalie,Natalie,나탈리
words,palavras,단어
R .,R.,r.
food,comida,음식
none,nenhum,없음
drive,dirigir,운전하다
feelings,sentimentos,감정
they'll,Eles vão,그들은 할 것이다
worked,trabalhado,일했다
marry,casar,결혼하다
light,luz,빛
test,teste,시험
drop,derrubar,떨어지다
cannot,não pode,할 수 없습니다
Frank,Frank,솔직한
sent,enviado,전송된
city,cidade,도시
dream,sonhar,꿈
protect,proteger,보호하다
twenty,vinte,이십
class,aula,수업
Lucy,Lucy,루시
surprise,surpresa,놀라다
its,isso é,그것은
sweetheart,querido,여보
forever,para sempre,영원히
poor,pobre,가난한
looked,visto,보였다
mad,louco,미친
except,exceto,제외하고
gun,pistola,총
y'know,você sabe,알았어
dance,dança,춤
takes,leva,테이크
appreciate,apreciar,고마워하다
especially,especialmente,특히
situation,situação,상황
besides,além do mais,게다가
weeks,semanas,주
pull,puxar,당기다
himself,ele mesmo,그 자신
hasn't,não,그렇지 않았습니다
act,agir,행동
worth,valor,가치
Sheridan,Sheridan,셰리 던
amazing,incrível,놀라운
top,principal,맨 위
given,dado,주어진
expect,esperar,예상하다
Ben,Ben,벤
rather,em vez de,꽤
Julian,Julian,줄리안
involved,envolvido,관련된
swear,jurar,욕을 하다
piece,pedaço,조각
busy,ocupado,바쁘다
law,lei,법
decided,decidido,결정했다
black or Black,preto ou preto,검은 색 또는 검은 색
Joey,Joey,조이
happening,acontecendo,사고
movie,filme,영화
we'd,qua,우리는
catch,pegar,잡다
Antonio,Antonio,안토니오
country,país,국가
less,menos,더 적은
perhaps,talvez,아마도
step,etapa,단계
fall,cair,떨어지다
watching,assistindo,보고 있다
kept,mantido,유지된
darling,querido,여보
dog,cachorro,개
Ms .,EM .,MS.
win,ganhar,이기다
air,ar,공기
honor,honra,명예
personal,pessoal,개인의
moving,movendo,움직이는
till,até,...까지
admit,Admitem,인정하다
problems,problemas,문제
murder,assassinato,살인
strong,forte,강한
he'd,ele,그는
evil,mal,사악한
definitely,definitivamente,분명히
feels,sentimentos,느낌
information,Informação,정보
honest,honesto,솔직한
eye,olho,눈
broke,quebrado,파산
missed,perdido,놓쳤다
longer,mais longo,더 길게
dollars,dólares,불화
tired,cansado,피곤한
Jason,Jason,제이슨
George,George,성 조지
evening,noite,저녁
human,humano,인간
starting,iniciando,시작
Ross,Ross,로스
red,vermelho,빨간색
entire,inteiro,전체
trip,viagem,여행
Brooke,Brooke,브룩
E .,E.,E.
club,clube,클럽
Niles,Niles,나일 즈
suppose,suponha,가정하다
calm,calma,침착한
imagine,Imagine,상상하다
Todd,Todd,토드
fair,justo,공정한
caught,capturado,잡았다
B .,B.,b.
blame,culpa,탓하다
street,rua,거리
sitting,sentado,좌석
favor,Favor,호의
apartment,apartamento,아파트
court,tribunal,법원
terrible,Terrível,끔찍한
clean,limpar,깨끗한
Tony or tony,Tony ou Tony,토니 또는 토니
learn,aprender,배우다
Alison,Alison,앨리슨
Rick,Rick,약간 뒤틀리게 하다
works,funciona,공장
Rose or rose,Rosa ou rosa,장미 또는 장미
Frasier,Frasier,프레이저
relax,relaxar,안심하다
York,Iorque,요크
million,milhão,백만
charity,caridade,자선 단체
accident,acidente,사고
wake,acordar,일어나 다
prove,provar,입증하다
Danny,Danny,대니
smart,inteligente,똑똑한
message,mensagem,메시지
missing,ausente,없어진
forgot,esquecido,잊어버렸다
small,pequeno,작은
interested,interessado,관심 있는
table,mesa,테이블
nbsp,nbsp,NBSP
become,tornar-se,~이 되다
Craig,Craig,크레이그
mouth,boca,입
pregnant,grávida,임신한
middle,meio,가운데
Billy or billy,Billy ou Billy,빌리 또는 빌리
ring,anel,반지
careful,cuidadoso,주의 깊은
shall,podemos,~일 것이다
dude,cara,녀석
team,equipe,팀
ride,andar de,타다
figured,figurado,문채 있는
wear,vestir,입다
shoot,atirar,사격
stick,grudar,막대
Ray or ray,Ray ou Ray,레이 또는 레이
follow,seguir,따르다
Bo,Bo,악
angry,nervoso,화난
instead,em vez de,대신에
buddy,companheiro,친구
write,escrever,쓰다
stopped,parou,멈췄다
early,cedo,일찍
Angel or angel,Anjo ou anjo,천사 또는 천사
Nick or nick,Nick ou Nick,닉 또는 닉
ran,corrido,달렸다
war,guerra,전쟁
standing,de pé,서 있는
forgive,perdoar,용서하다
jail,cadeia,교도소
wearing,vestindo,착용
Miguel,Miguel,미겔
ladies,senhoras,숙녀
kinda,tipo,좀
lunch,almoço,점심
Cristian,Cristian,크리스티안
eight,oito,여덟
Greenlee,Greenlee,그린리
gotten,pego,얻었다
hoping,na esperança,바라고
Phoebe,Febe,달
thousand,mil,천
ridge,cume,산등성이
music,música,음악
Luke,Lucas,루크
paper,papel,종이
tough,difícil,힘든
tape,fita,줄자
Emily,Emily,에밀리
state,estado,상태
count,contar,세다
college,faculdade,대학
boyfriend,namorado,남자 친구
proud,orgulhoso,자랑스러운
agree,concordar,동의하다
birthday,aniversário,생일
bill,conta,청구서
seven,Sete,일곱
they've,Eles têm,그들은
Timmy,Timmy,티미
history,história,역사
share,compartilhar,공유하다
offer,oferecer,권하다
hurry,pressa,서두르다
ow,ow,"오,"
feet,pés,피트
wondering,imaginando,궁금합니다
simple,simples,단순한
decision,decisão,결정
building,prédio,건물
ones,uns,하나
finish,terminar,마치다
voice,voz,목소리
herself,ela mesma,그녀 자신
Chris,Chris,크리스
would've,teria,아마
list,lista,목록
Kay,Kay,케이
mess,bagunça,엉망
deserve,merecer,~ 받을 만하다
evidence,evidência,증거
cute,bonitinho,귀여운
Jerry,Jerry,실내 변기
dress,vestir,드레스
Richard,Richard,리차드
interesting,interessante,흥미로운
Jesus,Jesus,예수
James,James,제임스
hotel,hotel,호텔
enjoy,aproveitar,즐기다
Ryan,Ryan,라이언
Lindsay,Lindsay,린제이
quiet,quieto,조용한
concerned,preocupado,관심 있는
road,estrada,도로
Eve or eve,Eva ou Eva,이브 또는 이브
staying,ficando,체재
short,curto,짧은
M .,M.,중 .
beat,bater,이기다
sweetie,docinho,사탕
mention,menção,언급하다
clothes,roupas,옷
finished,finalizado,완성된
fell,caiu,쓰러뜨리다
neither,nenhum,어느 것도 아니다
mmm,mmm,음
fix,consertar,고치다
Victor or victor,Victor ou Victor,빅터 또는 빅터
respect,respeito,존경
spent,gasto,지출
prison,prisão,감옥
attention,atenção,주목
holding,contenção,보유
calls,chamadas,전화
near,aproximar,가까운
surprised,surpreso,놀란
bar,bar,술집
Beth,Beth,베스
pass,passar,통과하다
keeping,guardando,유지
gift,presente,선물
hadn't,não tinha,그렇지 않았다
putting,colocando,퍼팅
dark,escuro,어두운
self,auto,본인
owe,dever,빚지다
using,usando,사용
Nora,Nora,노라
ice,gelo,얼음
helping,ajudando,거들기
bitch,cadela,암캐
normal,normal,정상
aunt,tia,이모
lawyer,advogado,변호사
apart,separado,따로
certain,certo,확실한
plans,planos,계획
Jax,Jax,Jax
girlfriend,namorada,여자 친구
floor,chão,바닥
whether,se,~이든
everything 's,tudo,모든 것
present,presente,현재의
earth,terra,지구
private,privado,사적인
Jessica,Jessica,제시카
box,caixa,상자
Dawson,Dawson,도슨
cover,cobrir,씌우다
judge,juiz,판사
upstairs,lá em cima,높은 곳에 있는
Alexis,Alexis,알렉시스
Shawn,Shawn,숀
sake,interesse,동기
mommy,Mamãe,엄마
possibly,possivelmente,혹시
worst,pior,최악의
